sample_name	Experimental_Category 	FACS_Marker	cell_type	treatment	treatment_length	cell_count	organism	protocol	instrument_model	read_length	single_or_paired	flowcell	lane	success					data_processed
CORE_CMP_10_2	Precursor	CD34+ CD38+ CD45RA-	CMP	NA	NA	10	mouse	CORE											
CORE_Precursor_negative_control_1	Precursor	NA	negative	NA	NA	0	mouse	CORE											
CORE_CLP_1_1	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_2	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_3	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_4	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_5	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_6	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_7	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_8	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_1_9	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	1	mouse	CORE											
CORE_CLP_10_1	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	10	mouse	CORE											
CORE_CLP_10_2	Precursor	CD34+ CD38+ CD45RA+	CLP	NA	NA	10	mouse	CORE											
CORE_Precursor_negative_control_2	Precursor	NA	negative	NA	NA	0	mouse	CORE											
CORE_LMPP_1_1	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_2	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_3	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_4	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_5	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_6	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_7	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_8	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_1_9	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	1	mouse	CORE											
CORE_LMPP_10_1	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	10	mouse	CORE											
CORE_LMPP_10_2	Precursor	CD34+ CD38- CD45RA+	LMPP	NA	NA	10	mouse	CORE											
CORE_Precursor_negative_control_3	Precursor	NA	negative	NA	NA	0	mouse	CORE											
